x_m,y_m,w_tr_right_m,w_tr_left_m,psi_rad,kappa_radpm,vx_mps
-15.297917,4.217623,0.4682,1.1038,-1.593413,0.215611,8.6986
-15.296832,3.967452,0.4761,1.0526,-1.542162,0.194339,9.2893
-15.283596,3.717632,0.4867,0.9933,-1.495751,0.176861,9.8508
-15.259328,3.468642,0.4947,0.9282,-1.453354,0.162218,10.3779
-15.224982,3.220842,0.4906,0.8531,-1.414281,0.150251,10.8731
-15.181351,2.974507,0.4889,0.7781,-1.377999,0.139888,11.3419
-15.129130,2.729850,0.5025,0.7130,-1.344180,0.130553,11.7895
-15.068949,2.487029,0.5397,0.6724,-1.312550,0.122369,12.2201
-15.001366,2.246164,0.5882,0.6496,-1.282850,0.115115,12.6364
-14.926877,2.007344,0.6566,0.6610,-1.254867,0.108635,13.0395
-14.845927,1.770636,0.7138,0.6744,-1.228410,0.102910,13.4294
-14.758911,1.536090,0.7335,0.6616,-1.203308,0.097795,13.8053
-14.666184,1.303742,0.7581,0.6732,-1.179415,0.093244,14.1664
-14.568063,1.073620,0.8013,0.7230,-1.156590,0.089258,14.5112
-14.464830,0.845746,0.8269,0.7666,-1.134701,0.085753,14.8383
-14.356732,0.620139,0.7958,0.7590,-1.113637,0.082660,15.1448
-14.243993,0.396814,0.7804,0.7697,-1.093313,0.079833,15.4253
-14.126817,0.175786,0.7793,0.7933,-1.073682,0.077128,15.6690
-14.005399,-0.042941,0.7556,0.7944,-1.054688,0.074731,15.8603
-13.879913,-0.259359,0.7330,0.7961,-1.036356,0.071835,15.9811
-13.750559,-0.473489,0.7208,0.8034,-1.018394,0.071776,16.0174
-13.617381,-0.685261,0.7049,0.8054,-1.000030,0.075052,15.9652
-13.480251,-0.894495,0.6920,0.8009,-0.980929,0.077663,15.8339
-13.339082,-1.101026,0.7051,0.8159,-0.961145,0.080516,15.6428
-13.193783,-1.304673,0.7084,0.8263,-0.940643,0.083402,15.4145
-13.044267,-1.505244,0.6894,0.8239,-0.919403,0.086422,15.1442
-12.890450,-1.702536,0.6728,0.8249,-0.897413,0.089400,14.8846
-12.732260,-1.896339,0.6535,0.8092,-0.874703,0.092175,14.6540
-12.569645,-2.086444,0.6334,0.7705,-0.851271,0.095176,14.4160
-12.402550,-2.272623,0.6348,0.7407,-0.827083,0.098223,14.1815
-12.230931,-2.454642,0.6182,0.6925,-0.802109,0.101463,13.9518
-12.054748,-2.632247,0.6111,0.6579,-0.776315,0.104779,13.7238
-11.873972,-2.805175,0.6228,0.6479,-0.749607,0.108775,13.4231
-11.688559,-2.973119,0.6018,0.6120,-0.722212,0.110271,13.0833
-11.498581,-3.135890,0.4991,0.5013,-0.693262,0.121215,12.7345
-11.303766,-3.292819,0.3892,0.3892,-0.666595,0.092007,12.7345
