x_m,y_m,w_tr_right_m,w_tr_left_m
-7.142075,-2.034213,0.7700,0.7700
-7.179958,-1.986727,0.7700,0.7700
-7.218688,-1.939970,0.7700,0.7700
-7.258311,-1.893984,0.7700,0.7700
-7.298871,-1.849791,0.8098,0.8098
-7.340414,-1.806560,0.8098,0.8098
-7.382985,-1.765310,0.7700,0.7700
-7.426630,-1.725207,0.7700,0.7700
-7.470408,-1.687152,0.7700,0.7700
-7.514248,-1.651065,0.7797,0.7797
-7.559059,-1.616862,0.7495,0.7495
-7.604882,-1.584463,0.7592,0.7592
-7.650771,-1.552915,0.7991,0.7991
-7.697633,-1.523118,0.7689,0.7689
-7.744519,-1.494118,0.7991,0.7991
-7.792335,-1.465940,0.7689,0.7689
-7.840130,-1.438609,0.7991,0.7991
-7.888804,-1.412147,0.7689,0.7689
-7.937405,-1.386571,0.7991,0.7991
-7.986830,-1.361897,0.7689,0.7689
-8.036124,-1.338138,0.8091,0.8091
-8.086181,-1.315303,0.7992,0.7992
-8.136044,-1.293400,0.8389,0.8389
-8.186604,-1.272434,0.8189,0.8189
-8.236900,-1.252404,0.8591,0.8591
-8.286836,-1.233311,0.8389,0.8389
-8.337301,-1.215149,0.8189,0.8189
-8.388311,-1.197912,0.8591,0.8591
-8.438899,-1.181589,0.8492,0.8492
-8.489948,-1.166169,0.8394,0.8394
-8.540488,-1.151635,0.8795,0.8795
-8.591402,-1.137969,0.8697,0.8697
-8.642699,-1.125151,0.8598,0.8598
-8.693408,-1.113155,0.8500,0.8500
-8.744405,-1.101956,0.8598,0.8598
-8.795701,-1.091523,0.8500,0.8500
-8.846319,-1.081824,0.8500,0.8500
-8.897134,-1.072823,0.8500,0.8500
-8.948153,-1.064484,0.8500,0.8500
-8.998396,-1.057634,0.8500,0.8500
-9.048737,-1.052118,0.8000,0.8000
-9.099177,-1.046912,0.8000,0.8000
-9.149721,-1.041971,0.8000,0.8000
-9.200371,-1.038118,0.8000,0.8000
-9.251130,-1.035193,0.7992,0.7992
-9.302000,-1.032165,0.7795,0.7795
-9.352000,-1.029854,0.7697,0.7697
-9.402000,-1.028097,0.7598,0.7598
-9.452000,-1.026730,0.7500,0.7500
-9.502000,-1.025588,0.7500,0.7500
-9.552000,-1.024509,0.7500,0.7500
-9.602000,-1.024312,0.7500,0.7500
-9.652000,-1.023967,0.7398,0.7398
-9.702870,-1.023313,0.7000,0.7000
-9.753629,-1.022189,0.6698,0.6698
-9.804279,-1.020433,0.6397,0.6397
-9.854823,-1.018870,0.6095,0.6095
-9.906134,-1.016471,0.5794,0.5794
-9.957233,-1.013077,0.5492,0.5492
-10.008996,-1.009516,0.5394,0.5394
-10.060447,-1.005747,0.5795,0.5795
-10.112465,-1.000745,0.5697,0.5697
-10.164076,-0.994360,0.5598,0.5598
-10.216161,-0.987424,0.5500,0.5500
-10.267751,-0.978915,0.5500,0.5500
-10.318860,-0.969670,0.5500,0.5500
-10.370371,-0.959655,0.5500,0.5500
-10.421317,-0.947857,0.6098,0.6098
-10.472586,-0.935115,0.6197,0.6197
-10.523212,-0.921404,0.6295,0.6295
