x_m,y_m,w_tr_right_m,w_tr_left_m,psi_rad,kappa_radpm,vx_mps
-13.759622,6.570507,1.3231,0.4268,-2.674414,0.416804,6.0333
-13.976672,6.446476,1.3049,0.5143,-2.573236,0.394414,6.0333
-14.180491,6.301718,1.1845,0.5700,-2.477081,0.376323,6.2085
-14.369846,6.138479,1.0330,0.6336,-2.384853,0.362805,6.3611
-14.543669,5.958782,0.9163,0.7352,-2.295999,0.349161,6.4793
-14.701198,5.764626,0.8252,0.8432,-2.210083,0.339196,6.5973
-14.841733,5.557854,0.7533,0.9440,-2.126632,0.329321,6.7115
-14.964817,5.340230,0.6921,1.0221,-2.044035,0.332389,6.7819
-15.069429,5.113176,0.6375,1.0625,-1.972916,0.237175,6.7819
-15.160422,4.880302,0.6056,1.0927,-1.922983,0.162516,7.1830
-15.241881,4.643931,0.6016,1.1374,-1.887506,0.121356,7.3579
-15.316133,4.405197,0.5971,1.1726,-1.861164,0.089399,7.4827
-15.385033,4.164862,0.5725,1.1857,-1.837058,0.103459,7.5634
-15.447695,3.922825,0.5518,1.2042,-1.807586,0.132349,7.5996
-15.502315,3.678853,0.5269,1.2176,-1.770207,0.166746,7.6017
-15.546729,3.432791,0.4949,1.2201,-1.718794,0.244801,7.5575
-15.576015,3.184515,0.4955,1.2467,-1.653810,0.275457,7.4690
-15.588166,2.934772,0.5114,1.2772,-1.586449,0.263931,7.4690
-15.583838,2.684797,0.5000,1.2741,-1.520201,0.266475,7.5347
-15.562892,2.435658,0.4785,1.2618,-1.453665,0.266280,7.5243
-15.525434,2.188464,0.4732,1.2687,-1.386788,0.269204,7.5194
-15.471452,1.944350,0.4637,1.2765,-1.319361,0.270665,7.4565
-15.401096,1.704418,0.4546,1.2832,-1.250180,0.283323,7.3620
-15.313963,1.470089,0.4498,1.2845,-1.180747,0.272616,7.3620
-15.211073,1.242200,0.4410,1.2748,-1.122946,0.190125,7.5088
-15.097485,1.019476,0.4195,1.2446,-1.080356,0.150691,7.8729
-14.975591,0.801186,0.4235,1.2411,-1.046318,0.121662,8.2209
-14.847116,0.586704,0.4177,1.2251,-1.018533,0.100638,8.5547
-14.713288,0.375523,0.4235,1.2177,-0.995315,0.085118,8.8557
-14.574996,0.167237,0.4113,1.1916,-0.975477,0.073583,9.1565
-14.432897,-0.038469,0.4017,1.1645,-0.958404,0.063004,9.4498
-14.287574,-0.241912,0.4137,1.1538,-0.942492,0.064291,9.5973
-14.139002,-0.442993,0.4331,1.1431,-0.925921,0.068278,9.5534
-13.987018,-0.641508,0.4320,1.1065,-0.908670,0.069730,9.5093
-13.831598,-0.837345,0.4432,1.0755,-0.891140,0.070508,9.4651
-13.672749,-1.030411,0.4515,1.0344,-0.873504,0.070583,9.4206
-13.510519,-1.220644,0.4910,1.0199,-0.855872,0.070474,9.3759
-13.344962,-1.407990,0.5196,1.0031,-0.838283,0.070237,9.3310
-13.176141,-1.592400,0.5230,0.9720,-0.820797,0.069648,9.2859
-13.004136,-1.773843,0.5419,0.9593,-0.803519,0.068578,9.2405
-12.829045,-1.952310,0.5374,0.9134,-0.786545,0.067221,9.1950
-12.650980,-2.127810,0.5271,0.8441,-0.769903,0.065911,9.1492
-12.470047,-2.300351,0.5531,0.8017,-0.753568,0.064769,9.1031
-12.286344,-2.469941,0.5621,0.7433,-0.737510,0.063694,9.0569
-12.099964,-2.636584,0.5785,0.6994,-0.721721,0.062615,9.0104
-11.910998,-2.800289,0.5907,0.6624,-0.706215,0.061433,8.9637
-11.719541,-2.961073,0.5852,0.6207,-0.690985,0.060408,8.9167
-11.525677,-3.118947,0.5059,0.5184,-0.676099,0.058675,8.8694
-11.329518,-3.273961,0.3892,0.3912,-0.661264,0.060007,8.8220
-11.131057,-3.426014,0.4034,0.4085,-0.646184,0.060630,8.7742
-10.930313,-3.575042,0.5009,0.5231,-0.631434,0.057366,8.7262
-10.727452,-3.721175,0.5501,0.6041,-0.617450,0.054503,8.6779
-10.522619,-3.864531,0.5472,0.6461,-0.603956,0.053446,8.6294
-10.315889,-4.005137,0.5514,0.7056,-0.590425,0.054798,8.5806
-10.107253,-4.142898,0.5434,0.7638,-0.576626,0.055596,8.5315
-9.896721,-4.277746,0.5350,0.8274,-0.562602,0.056594,8.4821
-9.684303,-4.409602,0.5281,0.8828,-0.548314,0.057703,8.4323
-9.470005,-4.538380,0.4892,0.8816,-0.533733,0.058947,8.3815
-9.253833,-4.663985,0.4470,0.8561,-0.518848,0.060129,8.3297
-9.035796,-4.786327,0.4330,0.8504,-0.503692,0.061123,8.2769
-8.815916,-4.905323,0.4319,0.8562,-0.488303,0.061989,8.2230
-8.594218,-5.020898,0.4391,0.8698,-0.472710,0.062747,8.1681
-8.370735,-5.132981,0.4664,0.9015,-0.456947,0.063360,8.1120
-8.145504,-5.241509,0.4623,0.8984,-0.441057,0.063763,8.0549
-7.918572,-5.346434,0.4205,0.8531,-0.425112,0.063790,7.9966
-7.689995,-5.447726,0.4173,0.8442,-0.409233,0.063241,7.9371
-7.459846,-5.545393,0.4363,0.8556,-0.393571,0.062059,7.8765
-7.228209,-5.639476,0.4481,0.8552,-0.378353,0.059683,7.8146
-6.995194,-5.730094,0.4415,0.8356,-0.363881,0.056092,7.7515
-6.760932,-5.817434,0.4170,0.8033,-0.350850,0.048152,7.6871
-6.525634,-5.901949,0.4053,0.7913,-0.339340,0.043924,7.6214
-6.289424,-5.983874,0.4420,0.8312,-0.327020,0.054633,7.5544
-6.052116,-6.062566,0.5039,0.8955,-0.311929,0.066093,7.4860
-5.813539,-6.137326,0.5212,0.9132,-0.293239,0.083427,7.4161
-5.573458,-6.207094,0.5567,0.9500,-0.269464,0.106788,7.3448
-5.331593,-6.270430,0.5697,0.9649,-0.237716,0.147241,7.2720
-5.087568,-6.324823,0.5728,0.9748,-0.193710,0.204926,7.1985
-4.841072,-6.366656,0.6253,1.0348,-0.142948,0.201368,7.1187
